gene | accuracy | robustness | depth | total_gates | fitness
--------------------------------------------------------------------------------
[4, 4, 3, 2, 2, 4, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 2, 4, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 2, 4, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 2, 1, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 1, 1, 3, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 1, 2, 1, 1, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 2, 4, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 2, 1, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 1, 1, 3, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 1, 2, 1, 1, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 1, 1, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 1, 2, 1, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 2, 1, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 1, 1, 3, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 2, 3, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 1, 1, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 1, 2, 1, 4, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 2, 4, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 2, 1, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 1, 1, 3, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 1, 2, 1, 1, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 1, 1, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 1, 1, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 2, 4, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 1, 3, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 1, 1, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 2, 1, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 2, 3, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 1, 1, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 1, 4, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 2, 1, 1] | 0.5733 | 1.0000 | 5 | 8 | 0.7667
[4, 4, 3, 2, 3, 3, 3] | 0.6300 | 0.9947 | 12 | 19 | 0.7654
[3, 4, 3, 4, 4, 1, 3] | 0.5900 | 1.0000 | 12 | 19 | 0.7470
[3, 4, 3, 4, 4, 1, 3] | 0.5900 | 1.0000 | 12 | 19 | 0.7470
[2, 2, 1, 2, 1, 1, 1] | 0.4600 | 1.0000 | 3 | 4 | 0.7180
[2, 2, 4, 2, 2, 4, 1] | 0.4600 | 1.0000 | 3 | 4 | 0.7180
[3, 1, 2, 4, 3, 3, 1] | 0.4333 | 1.0000 | 2 | 4 | 0.7087
[3, 1, 2, 4, 3, 3, 1] | 0.4333 | 1.0000 | 2 | 4 | 0.7087
[3, 1, 3, 1, 1, 3, 1] | 0.4333 | 1.0000 | 2 | 4 | 0.7087
[3, 1, 2, 4, 3, 3, 1] | 0.4333 | 1.0000 | 2 | 4 | 0.7087
[3, 1, 3, 1, 1, 3, 1] | 0.4333 | 1.0000 | 2 | 4 | 0.7087
[3, 1, 3, 3, 1, 2, 1] | 0.4333 | 1.0000 | 2 | 4 | 0.7087
[4, 1, 2, 4, 3, 1, 1] | 0.4333 | 1.0000 | 2 | 5 | 0.7087
[3, 1, 1, 1, 1, 2, 1] | 0.4333 | 1.0000 | 2 | 4 | 0.7087
[4, 1, 3, 1, 1, 3, 1] | 0.4333 | 1.0000 | 2 | 5 | 0.7087
[3, 1, 3, 4, 3, 3, 1] | 0.4333 | 1.0000 | 2 | 4 | 0.7087
